2209,"SM - Forbidden Light",3,,"2025-07-01T16:35:09.217"
2208,"SM Trainer Kit: Alolan Sandslash & Alolan Ninetales",3,,"2023-01-06T21:37:31.22"
2178,"SM - Ultra Prism",3,,"2025-06-02T09:38:00.453"
2148,"McDonald's Promos 2017",3,,"2022-09-23T15:39:06.843"
2071,"SM - Crimson Invasion",3,,"2025-10-11T00:08:19.787"
2054,"Shining Legends",3,,"2025-06-08T13:28:48.583"
1957,"SM - Burning Shadows",3,,"2025-05-16T09:36:22.35"
1938,"Alternate Art Promos",3,,"2025-05-05T14:44:41.377"
1919,"SM - Guardians Rising",3,,"2025-09-16T19:26:10.583"
23095,"Ash vs Team Rocket Deck Kit (JP Exclusive)",3,,"2023-04-04T11:55:00.78"
2069,"SM Trainer Kit: Lycanroc & Alolan Raichu",3,,"2025-08-04T16:53:57.113"
1863,"SM Base Set",3,,"2025-10-07T14:18:25.097"
1861,"SM Promos",3,,"2025-10-10T20:56:26.633"
1842,"XY - Evolutions",3,,"2025-10-15T17:44:43.377"
1840,"Deck Exclusives",3,,"2025-10-14T02:53:46.27"
3087,"McDonald's Promos 2016",3,,"2022-10-25T17:20:52.377"
1815,"XY - Steam Siege",3,,"2025-10-10T20:47:52.16"
1539,"League & Championship Cards",3,,"2025-07-15T15:21:14.943"
1780,"XY - Fates Collide",3,,"2025-10-14T00:07:43.207"
1796,"XY Trainer Kit: Pikachu Libre & Suicune",3,,"2024-08-20T18:24:14.493"
1728,"Generations",3,,"2025-07-31T12:10:11.417"
1729,"Generations: Radiant Collection",3,,"2024-12-10T03:43:36.023"
1701,"XY - BREAKpoint",3,,"2025-05-06T14:41:01.617"
1694,"McDonald's Promos 2015",3,,"2022-09-22T20:48:29.85"
1661,"XY - BREAKthrough",3,,"2025-10-14T20:38:02.73"
1576,"XY - Ancient Origins",3,,"2025-09-18T13:57:33.93"
1534,"XY - Roaring Skies",3,,"2025-03-16T09:39:10.503"
1536,"XY Trainer Kit: Latias & Latios",3,,"2024-10-25T17:06:18"
1528,"Jumbo Cards",3,,"2025-10-14T15:48:25.02"
1525,"Double Crisis",3,,"2024-12-27T08:19:04.257"
1509,"XY - Primal Clash",3,,"2025-10-06T12:05:30.153"
1533,"XY Trainer Kit: Bisharp & Wigglytuff",3,,"2023-03-31T16:31:12.98"
1494,"XY - Phantom Forces",3,,"2025-04-17T17:05:35.47"
1481,"XY - Furious Fists",3,,"2025-04-12T03:31:41.91"
1692,"McDonald's Promos 2014",3,,"2022-12-13T13:31:46.887"
1464,"XY - Flashfire",3,,"2025-05-30T14:49:00.103"
1532,"XY Trainer Kit: Sylveon & Noivern",3,,"2024-08-20T18:24:52.08"
1387,"XY Base Set",3,,"2025-07-22T15:13:07.077"
1451,"XY Promos",3,,"2025-07-25T20:06:46.27"
1522,"Kalos Starter Set",3,,"2022-12-14T16:18:51.623"
1409,"Legendary Treasures",3,,"2025-07-15T15:27:43.557"
1465,"Legendary Treasures: Radiant Collection",3,,"2025-09-26T20:07:02.867"
1370,"Plasma Blast",3,,"2025-02-05T21:14:05.867"
1382,"Plasma Freeze",3,,"2025-05-10T15:46:50.4"
1413,"Plasma Storm",3,,"2025-05-08T10:13:55.437"
1408,"Boundaries Crossed",3,,"2025-03-03T17:38:05.55"
1426,"Dragon Vault",3,,"2023-08-29T12:38:19.02"
1394,"Dragons Exalted",3,,"2025-03-01T09:23:30.933"
1427,"McDonald's Promos 2012",3,,"2022-11-17T21:11:14.983"
1386,"Dark Explorers",3,,"2025-08-06T14:45:32.667"
1412,"Next Destinies",3,,"2025-02-05T20:16:39.473"
1385,"Noble Victories",3,,"2025-10-14T05:03:45.503"
1538,"BW Trainer Kit: Excadrill & Zoroark",3,,"2024-11-13T20:34:29.653"
1424,"Emerging Powers",3,,"2025-03-02T15:57:21.657"
1401,"McDonald's Promos 2011",3,,"2022-11-26T17:41:15.467"
1400,"Black and White",3,,"2025-10-14T00:00:33.107"
1407,"Black and White Promos",3,,"2025-07-25T16:33:01.98"
1415,"Call of Legends",3,,"2025-10-13T23:55:05.817"
2332,"Professor Program Promos",3,,"2025-09-03T14:27:16.88"
1381,"Triumphant",3,,"2025-02-05T21:04:53.413"
1403,"Undaunted",3,,"2025-07-15T14:24:56.46"
2205,"Pikachu World Collection Promos",3,,"2021-12-10T14:04:09.17"
1540,"HGSS Trainer Kit: Gyarados & Raichu",3,,"2023-12-20T19:38:47.463"
1399,"Unleashed",3,,"2025-10-10T23:16:34.497"
1402,"HeartGold SoulSilver",3,,"2025-05-31T17:16:56.76"
1453,"HGSS Promos",3,,"2024-10-18T12:22:34.227"
1433,"Rumble",3,,"2022-11-17T21:25:24.627"
1391,"Arceus",3,,"2025-10-01T02:29:18.457"
1384,"Supreme Victors",3,,"2025-07-22T15:03:44.633"
1367,"Rising Rivals",3,,"2025-02-05T21:07:34.073"
2175,"Burger King Promos",3,,"2025-04-23T14:20:16.637"
1406,"Platinum",3,,"2025-04-23T15:55:05.3"
1369,"Stormfront",3,,"2025-07-15T15:47:39.75"
2155,"Countdown Calendar Promos",3,,"2022-09-21T19:48:30.323"
1417,"Legends Awakened",3,,"2025-04-23T12:47:38.467"
1390,"Majestic Dawn",3,,"2025-02-15T10:48:02.58"
1405,"Great Encounters",3,,"2024-12-20T19:13:40.35"
1380,"Secret Wonders",3,,"2025-05-04T05:25:30.23"
609,"DP Training Kit 1 Blue",3,,"2023-02-16T15:35:27.873"
610,"DP Training Kit 1 Gold",3,,"2023-02-16T15:42:26.723"
1541,"DP Trainer Kit: Manaphy & Lucario",3,,"2024-10-14T11:32:25.06"
1368,"Mysterious Treasures",3,,"2025-04-25T14:35:03.8"
1430,"Diamond and Pearl",3,,"2025-03-27T20:37:55.447"
1421,"Diamond and Pearl Promos",3,,"2025-07-25T20:13:07.817"
1383,"Power Keepers",3,,"2025-01-31T20:45:19.183"
1411,"Dragon Frontiers",3,,"2025-05-06T15:28:34.103"
1395,"Crystal Guardians",3,,"2025-02-06T17:19:57.363"
1379,"Holon Phantoms",3,,"2024-10-18T17:42:43.277"
1378,"Legend Maker",3,,"2025-02-13T09:34:08.227"
1429,"Delta Species",3,,"2025-01-17T02:46:57.467"
1398,"Unseen Forces",3,,"2025-01-06T12:44:48.59"
1410,"Emerald",3,,"2025-07-24T20:31:18.517"
1404,"Deoxys",3,,"2025-04-17T17:06:08.543"
1428,"Team Rocket Returns",3,,"2025-02-19T18:24:43.103"
1853,"EX Battle Stadium",3,,"2024-10-31T18:31:02.77"
1419,"FireRed & LeafGreen",3,,"2025-05-31T20:04:33.26"
