Group ID,Group Name,Products,Prices
24149,Movie Commemoration VS Pack,https://tcgcsv.com/tcgplayer/85/24149/products,https://tcgcsv.com/tcgplayer/85/24149/prices
24150,Theater Limited VS Pack,https://tcgcsv.com/tcgplayer/85/24150/products,https://tcgcsv.com/tcgplayer/85/24150/prices
24151,Melee! Pokemon Scramble,https://tcgcsv.com/tcgplayer/85/24151/products,https://tcgcsv.com/tcgplayer/85/24151/prices
24152,PPP Promotional cards,https://tcgcsv.com/tcgplayer/85/24152/products,https://tcgcsv.com/tcgplayer/85/24152/prices
24153,PokéPark Blue,https://tcgcsv.com/tcgplayer/85/24153/products,https://tcgcsv.com/tcgplayer/85/24153/prices
24154,PokePark Forest,https://tcgcsv.com/tcgplayer/85/24154/products,https://tcgcsv.com/tcgplayer/85/24154/prices
24155,PLAY Promotional cards,https://tcgcsv.com/tcgplayer/85/24155/products,https://tcgcsv.com/tcgplayer/85/24155/prices
24156,McDonald's Pokémon-e Minimum Pack,https://tcgcsv.com/tcgplayer/85/24156/products,https://tcgcsv.com/tcgplayer/85/24156/prices
24157,T Promotional cards,https://tcgcsv.com/tcgplayer/85/24157/products,https://tcgcsv.com/tcgplayer/85/24157/prices
24158,Master Kit (Torchic),https://tcgcsv.com/tcgplayer/85/24158/products,https://tcgcsv.com/tcgplayer/85/24158/prices
24159,Master Kit (Side Deck),https://tcgcsv.com/tcgplayer/85/24159/products,https://tcgcsv.com/tcgplayer/85/24159/prices
24160,Intro Pack Neo (Chikorita),https://tcgcsv.com/tcgplayer/85/24160/products,https://tcgcsv.com/tcgplayer/85/24160/prices
24161,Intro Pack Neo (Totodile),https://tcgcsv.com/tcgplayer/85/24161/products,https://tcgcsv.com/tcgplayer/85/24161/prices
24167,Pokemon-e Starter Deck,https://tcgcsv.com/tcgplayer/85/24167/products,https://tcgcsv.com/tcgplayer/85/24167/prices
24168,Intro Pack (Bulbasaur),https://tcgcsv.com/tcgplayer/85/24168/products,https://tcgcsv.com/tcgplayer/85/24168/prices
24169,Intro Pack (Squirtle),https://tcgcsv.com/tcgplayer/85/24169/products,https://tcgcsv.com/tcgplayer/85/24169/prices
24172,Unnumbered Promotional cards,https://tcgcsv.com/tcgplayer/85/24172/products,https://tcgcsv.com/tcgplayer/85/24172/prices
24173,SV9: Battle Partners,https://tcgcsv.com/tcgplayer/85/24173/products,https://tcgcsv.com/tcgplayer/85/24173/prices
24174,SVN: Battle Partners Deck Build Box,https://tcgcsv.com/tcgplayer/85/24174/products,https://tcgcsv.com/tcgplayer/85/24174/prices
24175,City Gym Decks,https://tcgcsv.com/tcgplayer/85/24175/products,https://tcgcsv.com/tcgplayer/85/24175/prices
24180,Pokemon VS,https://tcgcsv.com/tcgplayer/85/24180/products,https://tcgcsv.com/tcgplayer/85/24180/prices
24194,CoroCoro Promotional Cards,https://tcgcsv.com/tcgplayer/85/24194/products,https://tcgcsv.com/tcgplayer/85/24194/prices
24195,How I Became a Pokemon Card,https://tcgcsv.com/tcgplayer/85/24195/products,https://tcgcsv.com/tcgplayer/85/24195/prices
24196,Elementary School Competition,https://tcgcsv.com/tcgplayer/85/24196/products,https://tcgcsv.com/tcgplayer/85/24196/prices
24197,64 Mario Stadium Best Photo Contest,https://tcgcsv.com/tcgplayer/85/24197/products,https://tcgcsv.com/tcgplayer/85/24197/prices
24198,Pokemon Card Information Promotional cards,https://tcgcsv.com/tcgplayer/85/24198/products,https://tcgcsv.com/tcgplayer/85/24198/prices
24199,Battle Road,https://tcgcsv.com/tcgplayer/85/24199/products,https://tcgcsv.com/tcgplayer/85/24199/prices
24200,World Hobby Fair,https://tcgcsv.com/tcgplayer/85/24200/products,https://tcgcsv.com/tcgplayer/85/24200/prices
24201,Champion Road,https://tcgcsv.com/tcgplayer/85/24201/products,https://tcgcsv.com/tcgplayer/85/24201/prices
24202,Gym Challenge,https://tcgcsv.com/tcgplayer/85/24202/products,https://tcgcsv.com/tcgplayer/85/24202/prices
24203,Pokemon Card Design Contest,https://tcgcsv.com/tcgplayer/85/24203/products,https://tcgcsv.com/tcgplayer/85/24203/prices
24204,Pokemon Card Fan Club,https://tcgcsv.com/tcgplayer/85/24204/products,https://tcgcsv.com/tcgplayer/85/24204/prices
24205,Unnumbered World Championships,https://tcgcsv.com/tcgplayer/85/24205/products,https://tcgcsv.com/tcgplayer/85/24205/prices
24206,Vending Machine cards Series 1 (Blue),https://tcgcsv.com/tcgplayer/85/24206/products,https://tcgcsv.com/tcgplayer/85/24206/prices
24207,Vending Machine cards Series 2 (Red),https://tcgcsv.com/tcgplayer/85/24207/products,https://tcgcsv.com/tcgplayer/85/24207/prices
24208,Vending Machine cards Series 3 (Green),https://tcgcsv.com/tcgplayer/85/24208/products,https://tcgcsv.com/tcgplayer/85/24208/prices
24230,SV: ex Starter Set Steven's Beldum & Metagross ex,https://tcgcsv.com/tcgplayer/85/24230/products,https://tcgcsv.com/tcgplayer/85/24230/prices
24231,SV: ex Starter Set Marnie's Morpeko & Grimmsnarl ex,https://tcgcsv.com/tcgplayer/85/24231/products,https://tcgcsv.com/tcgplayer/85/24231/prices
24260,SV9a: Heat Wave Arena,https://tcgcsv.com/tcgplayer/85/24260/products,https://tcgcsv.com/tcgplayer/85/24260/prices
24310,SV10: The Glory of Team Rocket,https://tcgcsv.com/tcgplayer/85/24310/products,https://tcgcsv.com/tcgplayer/85/24310/prices
24324,SVM: Generations Start Decks,https://tcgcsv.com/tcgplayer/85/24324/products,https://tcgcsv.com/tcgplayer/85/24324/prices
24342,BW-P Promotional cards,https://tcgcsv.com/tcgplayer/85/24342/products,https://tcgcsv.com/tcgplayer/85/24342/prices
24349,SV11B: Black Bolt,https://tcgcsv.com/tcgplayer/85/24349/products,https://tcgcsv.com/tcgplayer/85/24349/prices
24350,SV11W: White Flare,https://tcgcsv.com/tcgplayer/85/24350/products,https://tcgcsv.com/tcgplayer/85/24350/prices
24399,m1L: Mega Brave,https://tcgcsv.com/tcgplayer/85/24399/products,https://tcgcsv.com/tcgplayer/85/24399/prices
24400,m1S: Mega Symphonia,https://tcgcsv.com/tcgplayer/85/24400/products,https://tcgcsv.com/tcgplayer/85/24400/prices
24420,Scarlet & Violet Energies,https://tcgcsv.com/tcgplayer/85/24420/products,https://tcgcsv.com/tcgplayer/85/24420/prices
24423,M-P Promotional Cards,https://tcgcsv.com/tcgplayer/85/24423/products,https://tcgcsv.com/tcgplayer/85/24423/prices
24425,Special Box Collections,https://tcgcsv.com/tcgplayer/85/24425/products,https://tcgcsv.com/tcgplayer/85/24425/prices
24444,MBG: MEGA Starter Set Mega Gengar ex,https://tcgcsv.com/tcgplayer/85/24444/products,https://tcgcsv.com/tcgplayer/85/24444/prices
24445,MBD: MEGA Starter Set Mega Diancie ex,https://tcgcsv.com/tcgplayer/85/24445/products,https://tcgcsv.com/tcgplayer/85/24445/prices
24459,M2: Inferno X,https://tcgcsv.com/tcgplayer/85/24459/products,https://tcgcsv.com/tcgplayer/85/24459/prices
24468,Triple Starter Deck Set VMAX,https://tcgcsv.com/tcgplayer/85/24468/products,https://tcgcsv.com/tcgplayer/85/24468/prices
24489,Limited Collection Master Battle Set,https://tcgcsv.com/tcgplayer/85/24489/products,https://tcgcsv.com/tcgplayer/85/24489/prices
24494,Player Placement Trainer Promos,https://tcgcsv.com/tcgplayer/85/24494/products,https://tcgcsv.com/tcgplayer/85/24494/prices
24499,M2a: High Class Pack: MEGA Dream ex,https://tcgcsv.com/tcgplayer/85/24499/products,https://tcgcsv.com/tcgplayer/85/24499/prices
24503,Movie Commemoration VS Pack: Sky-Splitting Deoxys,https://tcgcsv.com/tcgplayer/85/24503/products,https://tcgcsv.com/tcgplayer/85/24503/prices
24514,BW: Extra Regulation Box,https://tcgcsv.com/tcgplayer/85/24514/products,https://tcgcsv.com/tcgplayer/85/24514/prices
